cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_breakeven_5y5y_level|robustz|w120,rates,us_breakeven_5y5y,level,0,0,2003-01-02,robustz,120,-1,0.12,-0.239,0.003,0.038,0.026,0.261,0.667,24,0.051,-0.000403995785591795,3130,-76.22,27.66,99.08,92.09,False,True,True,True,False,3
us_freight_tsi_yoy|dev|w60,us_cycle,us_freight_tsi,yoy,12,90,2000-01-01,dev,60,-1,-0.011,0.028,-0.001,0.012,0.008,-0.058,0.423,26,-0.035,-0.008588462260882862,4247,-91.97,9.71,99.5,104.56,False,False,True,True,True,3
wti_level|selfz|w120,commodity,wti,level,0,0,1986-01-02,selfz,120,-1,-0.018,0.002,-0.012,0.018,0.008,0.165,0.5,26,0.04,-0.031047354100336995,4776,-92.5,24.2,99.32,167.55,False,False,True,True,True,3
us_breakeven_5y5y_level|selfz|w252,rates,us_breakeven_5y5y,level,0,0,2003-01-02,selfz,252,-1,0.074,-0.242,-0.032,0.001,-0.01,0.236,0.667,24,0.074,0.004437228120003613,3012,-73.95,27.01,99.43,3509.3,False,True,True,True,False,3
us_breakeven_5y5y_level|rankc|w252,rates,us_breakeven_5y5y,level,0,0,2003-01-02,rankc,252,-1,-0.0,-0.102,-0.033,0.003,-0.009,0.191,0.667,24,0.036,-0.013440276423592875,4677,-79.8,29.81,99.63,1165.15,False,True,True,True,False,3
us_breakeven_5y5y_level|robustz|w60,rates,us_breakeven_5y5y,level,0,0,2003-01-02,robustz,60,-1,0.109,-0.367,-0.051,-0.0,-0.017,0.078,0.708,24,0.039,-0.01010953912901702,4617,-56.21,36.79,99.19,-44148.9,False,True,True,True,False,3
us_breakeven_5y5y_level|bdtanh|w252,rates,us_breakeven_5y5y,level,0,0,2003-01-02,bdtanh,252,-1,-0.031,-0.133,-0.063,-0.031,-0.042,0.215,0.667,24,0.066,0.012391621508295252,4677,-79.03,27.15,99.54,-104.97,False,True,True,True,False,3
us_breakeven_5y5y_level|signth|w120,rates,us_breakeven_5y5y,level,0,0,2003-01-02,signth,120,-1,0.01,-0.247,-0.072,-0.033,-0.046,0.102,0.708,24,0.014,-0.012119230997280147,4830,-66.51,30.91,99.27,-118.28,False,True,True,True,False,3
us_real_10y_level|signth|w120,rates,us_real_10y,level,0,0,2003-01-02,signth,120,-1,0.789,-0.324,0.427,0.457,0.447,0.298,0.625,24,-0.072,0.003394667363841516,1260,-65.53,23.61,99.74,6.5,False,False,True,True,False,2
us_electronics_ppi_yoy|robustz|w252,semis,us_electronics_ppi,yoy,12,45,1965-12-01,robustz,252,-1,0.647,-0.156,0.393,0.4,0.398,0.331,0.72,25,-0.163,0.024581790653902213,761,-69.76,5.18,99.65,1.63,False,True,False,True,False,2
us_dxy_broad_level|rankc|w252,fx,us_dxy_broad,level,0,0,2006-01-02,rankc,252,-1,0.295,0.541,0.389,0.409,0.402,0.4,0.619,21,-0.222,-0.004016104944957496,3462,-47.95,17.95,99.59,4.94,False,False,False,True,True,2
us_real_10y_level|bdtanh|w120,rates,us_real_10y,level,0,0,2003-01-02,bdtanh,120,-1,0.641,-0.19,0.365,0.394,0.384,0.21,0.625,24,-0.077,-0.0004918212410167873,1378,-58.03,23.6,99.75,7.28,False,False,True,True,False,2
us_real_10y_level|dev|w120,rates,us_real_10y,level,0,0,2003-01-02,dev,120,-1,0.552,-0.059,0.35,0.377,0.368,0.216,0.583,24,-0.114,-0.023458691671954524,1166,-45.42,21.93,99.33,7.16,False,False,True,True,False,2
us_semi_ppi_yoy|rankc|w120,semis,us_semi_ppi,yoy,12,45,1967-01-01,rankc,120,-1,0.445,0.093,0.346,0.353,0.351,0.322,0.538,26,-0.169,-0.03772103197056377,1735,-61.78,6.25,99.72,2.23,False,False,False,True,True,2
us_dxy_broad_level|bdtanh|w252,fx,us_dxy_broad,level,0,0,2006-01-02,bdtanh,252,-1,0.242,0.508,0.343,0.358,0.353,0.368,0.619,21,-0.238,-0.00332961190629778,3476,-50.01,14.13,99.53,4.39,False,False,False,True,True,2
us_real_10y_level|selfz|w120,rates,us_real_10y,level,0,0,2003-01-02,selfz,120,-1,0.577,-0.129,0.342,0.374,0.364,0.203,0.625,24,-0.076,-0.0010006209808421868,1348,-50.66,25.45,99.39,8.62,False,False,True,True,False,2
us_real_10y_level|signth|w60,rates,us_real_10y,level,0,0,2003-01-02,signth,60,-1,0.56,-0.112,0.341,0.379,0.367,0.297,0.625,24,-0.0,0.009159421993120693,1190,-48.82,30.67,99.53,10.16,False,False,True,True,False,2
us_dxy_broad_level|robustz|w120,fx,us_dxy_broad,level,0,0,2006-01-02,robustz,120,-1,0.378,0.264,0.335,0.355,0.348,0.325,0.619,21,-0.192,0.021795861919917604,2754,-41.37,17.77,99.49,5.68,False,False,False,True,True,2
us_semi_ppi_yoy|rankc|w252,semis,us_semi_ppi,yoy,12,45,1967-01-01,rankc,252,-1,0.44,0.06,0.333,0.338,0.337,0.214,0.6,25,-0.224,-0.036921834008412445,2020,-68.52,4.53,99.55,1.59,False,False,False,True,True,2
us_semi_ip_nsa_yoy|signth|w60,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,signth,60,1,0.5,-0.084,0.331,0.339,0.336,0.337,0.615,26,-0.053,0.012150509336489921,1113,-56.11,6.82,99.58,2.39,False,False,True,True,False,2
us_real_10y_level|rankc|w252,rates,us_real_10y,level,0,0,2003-01-02,rankc,252,-1,0.496,-0.014,0.327,0.356,0.347,0.208,0.542,24,-0.084,0.013840543918545844,806,-50.37,25.31,99.59,8.29,False,False,True,True,False,2
us_dxy_broad_level|selfz|w120,fx,us_dxy_broad,level,0,0,2006-01-02,selfz,120,-1,0.295,0.38,0.327,0.352,0.343,0.26,0.524,21,-0.206,-0.0002001082868406568,2486,-36.8,20.61,99.46,6.85,False,False,False,True,True,2
us_real_10y_level|rankc|w120,rates,us_real_10y,level,0,0,2003-01-02,rankc,120,-1,0.568,-0.161,0.325,0.36,0.349,0.175,0.583,24,-0.08,-0.007117830000112537,798,-62.21,28.83,99.56,9.89,False,False,True,True,False,2
us_real_10y_level|bdtanh|w60,rates,us_real_10y,level,0,0,2003-01-02,bdtanh,60,-1,0.576,-0.191,0.319,0.357,0.345,0.282,0.625,24,-0.009,0.007876025445939471,1189,-55.07,30.69,99.74,10.8,False,False,True,True,False,2
