cell,SR_IS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly|call_disp|dev|w252|c2c,-0.0684800385155567,-0.2489329883420199,-0.22970231281518333,0.2777777777777778,18,-0.01042086115776084,0.017802811490063564,-0.585,False,False,True,False,True,1,False
monthly|call_otm_share|selfz|w20|c2c,-0.20094769376733246,0.004630494666159268,0.1219736712254827,0.6666666666666666,18,-0.29899466689247983,0.960508637920218,-0.311,False,True,True,False,False,2,False
monthly|call_otm_share|selfz|w60|c2c,-0.15003371023744894,0.05398568873518336,0.10293762185132935,0.4444444444444444,18,-0.35438493196838095,0.9162018223999356,-0.387,False,False,True,False,False,1,False
monthly|call_otm_share|selfz|w120|c2c,-0.0492604646474516,-0.0034472699403140885,0.02581839869706651,0.4444444444444444,18,-0.40211765811819733,0.8708006963949806,-0.462,False,False,True,False,False,1,False
monthly|call_otm_share|selfz|w252|c2c,-0.13241791623239804,0.069916367725968,-0.04742468328035848,0.4444444444444444,18,-0.39181738845631675,0.8495685162017336,-0.461,False,False,True,False,False,1,False
monthly|call_otm_share|robustz|w20|c2c,-0.3623785174315407,0.1568128965510108,0.28566776894033435,0.6111111111111112,18,-0.11555194760634975,0.8797003276790388,-0.131,False,False,True,True,True,2,False
monthly|call_otm_share|robustz|w60|c2c,-0.2656961879816925,0.14603764440454894,0.17882570012073712,0.6111111111111112,18,-0.17647657697513025,0.828815735986976,-0.213,False,False,True,False,False,1,False
monthly|call_otm_share|robustz|w120|c2c,-0.24800875865951882,0.14677187315090648,0.03998224231182892,0.5,18,-0.2392732994760186,0.8317465815501572,-0.288,False,False,True,False,False,1,False
monthly|call_otm_share|robustz|w252|c2c,-0.4843555886830961,0.2442832115864546,0.30789340650200187,0.47058823529411764,17,-0.22203137178332813,0.8222861859153235,-0.27,False,False,True,False,False,1,False
monthly|call_otm_share|bdtanh|w20|c2c,0.0306110399492613,-0.16343223758186626,-0.3562828118007421,0.3333333333333333,18,0.22949659806368436,0.6314664445302731,0.363,False,False,True,False,False,1,False
monthly|call_otm_share|bdtanh|w60|c2c,0.04548834849517275,-0.15056208245405117,-0.3045409138222845,0.3888888888888889,18,0.27531205329019565,0.6116623519830101,0.45,False,False,True,False,False,1,False
monthly|call_otm_share|bdtanh|w120|c2c,0.22083904103779178,-0.08132204976774399,-0.16894941358206542,0.4444444444444444,18,0.29976802974777395,0.5880133241205074,0.51,False,False,True,False,False,1,False
monthly|call_otm_share|bdtanh|w252|c2c,0.11385701793609285,-0.1762054199378523,-0.08935165360232455,0.4444444444444444,18,0.3038106115538505,0.5785985764145517,0.525,False,False,True,False,False,1,False
monthly|call_otm_share|rankc|w20|c2c,-0.011639321370995744,-0.19040891822961703,-0.12961831083458927,0.4444444444444444,18,-0.24882738783126424,0.5594819611470875,-0.445,False,False,True,False,False,1,False
monthly|call_otm_share|rankc|w60|c2c,-0.08178648553612959,-0.03513983820003806,-0.00457343688373704,0.3333333333333333,18,-0.2553016278453611,0.5406753407682782,-0.472,False,False,True,False,False,1,False
monthly|call_otm_share|rankc|w120|c2c,0.009407500572052092,-0.12541249209667335,-0.25105960730050236,0.4444444444444444,18,0.2514216578690331,0.5223288098580577,0.481,False,False,True,False,False,1,False
monthly|call_otm_share|rankc|w252|c2c,-0.12110936189317316,0.08776755421889462,0.1040299676923724,0.4444444444444444,18,-0.2558898554606332,0.5162407960649397,-0.496,False,False,True,False,False,1,False
monthly|call_otm_share|signth|w20|c2c,0.1467701457094635,-0.052727915810615957,-0.22327375897580545,0.4444444444444444,18,0.14538559493842892,0.4974416373520947,0.292,False,False,True,False,True,1,False
monthly|call_otm_share|signth|w60|c2c,0.20363542537251253,-0.06903627289501572,-0.21067753984260162,0.3333333333333333,18,0.16800515902956717,0.4808122801407099,0.349,False,False,True,False,False,1,False
monthly|call_otm_share|signth|w120|c2c,0.21226070933761654,-0.06860687835256701,-0.16488892167862518,0.4444444444444444,18,0.18408270187500508,0.45330988167572756,0.406,False,False,True,False,False,1,False
monthly|call_otm_share|signth|w252|c2c,-0.12730636083790917,0.09748183936656744,0.06818592319683266,0.4444444444444444,18,-0.16831456173113069,0.43652062679884873,-0.386,False,False,True,False,False,1,False
monthly|call_otm_share|dev|w20|c2c,0.011449451210284234,-0.05068443610611416,-0.280084690349277,0.3333333333333333,18,0.029579714338308843,0.07611289812433242,0.389,False,False,True,False,True,1,False
monthly|call_otm_share|dev|w60|c2c,-0.013539307148126237,-0.10360552106160024,-0.027734675164949443,0.3888888888888889,18,-0.04067488105306744,0.08953503897639649,-0.454,False,False,True,False,True,1,False
monthly|call_otm_share|dev|w120|c2c,0.13641169759130906,0.002132176293530589,-0.14727654780647598,0.5,18,0.042982838383048075,0.09127079077246213,0.471,False,False,True,False,True,1,False
monthly|call_otm_share|dev|w252|c2c,0.06885973255041318,-0.0936173607087018,-0.06663590025854464,0.5555555555555556,18,0.0447706524098631,0.09332987331076098,0.48,False,False,True,False,True,1,False
monthly|call_far_share|selfz|w20|c2c,-0.08397453724388972,-0.19645784392907478,-0.07582556717234593,0.4444444444444444,18,-0.3924464603961395,0.9646239474112741,-0.407,False,False,True,False,False,1,False
monthly|call_far_share|selfz|w60|c2c,-0.04897874079455796,-0.19323503861159758,-0.12606630288222392,0.3333333333333333,18,-0.5760330264675962,0.9311800607828117,-0.619,False,False,True,False,False,1,False
monthly|call_far_share|selfz|w120|c2c,0.06159437591229603,0.1171175902061399,0.027319455369950407,0.6111111111111112,18,0.6840932555079605,0.8981614675226961,0.762,False,False,True,False,False,1,False
