event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
durable_goods,1,2,day,durable_goods|off1|h2|day,1,0.5734431026315545,0.874652885055981,0.6771081327571215,1.0488365996578397,0.7647058823529411,-0.4704552556632168,17,0.0291370484118362,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.458,True,True,True,False,True,3,False
durable_goods,1,2,ongap,durable_goods|off1|h2|ongap,1,0.486127303216009,0.0579455143473272,0.1068277930665747,0.2185178292547806,0.6,-2.011709139601787,10,0.0497827166021959,0.0976148409893992,24.598939929328623,9.76148409893993,2264,0.51,False,False,True,False,True,1,False
durable_goods,1,2,night,durable_goods|off1|h2|night,1,0.1419081385687903,0.3971287705343017,0.362951394000819,0.356955645075425,0.5,-1.1102820214121043,10,0.0894502469571172,0.0976148409893992,24.598939929328623,9.76148409893993,2264,0.916,False,False,True,False,True,1,False
durable_goods,2,1,c2c,durable_goods|off2|h1|c2c,-1,-0.0933040447060511,-0.6069385114282141,-0.308596388659367,-0.3991835054935922,0.4117647058823529,-2.059761973607669,17,-0.0153203295870039,0.0318196354333226,16.037096258394627,3.181963543332268,6254,-0.481,False,False,True,False,True,1,False
durable_goods,2,1,o2o,durable_goods|off2|h1|o2o,1,0.025373021883495,0.3918091157529202,0.1760783943622087,0.4169008444513563,0.5882352941176471,-1.0327391389722371,17,0.0172216135216566,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.541,False,False,True,False,True,1,False
durable_goods,2,1,day,durable_goods|off2|h1|day,1,0.2662046669581614,0.4904419956906771,0.3476351431566462,0.5182725231790892,0.6470588235294118,-0.9563814103693914,17,0.0153921927544331,0.0318145483613109,16.03453237410072,3.181454836131095,6255,0.484,False,False,True,False,True,1,False
durable_goods,2,1,ongap,durable_goods|off2|h1|ongap,1,-0.4370177390752008,0.0669818875926819,0.0021990891474225,0.1363901184694906,0.6,-1.4357030366623509,10,0.0210110258332156,0.0485865724381625,24.48763250883392,4.858657243816254,2264,0.432,False,False,True,False,True,1,False
durable_goods,2,1,night,durable_goods|off2|h1|night,1,1.1619465517998686,0.4678239773078844,0.5319259639728604,0.3204685722407316,0.5,-1.5614505836132038,10,0.0479575407891037,0.0485865724381625,24.48763250883392,4.858657243816254,2264,0.987,False,False,True,False,True,1,False
durable_goods,2,2,c2c,durable_goods|off2|h2|c2c,1,0.257029531106289,-0.0018705176332459,0.1274742936906675,0.2310673897332293,0.5294117647058824,-1.0157470663194197,17,0.0440579237525338,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.692,False,False,True,False,True,1,False
durable_goods,2,2,o2o,durable_goods|off2|h2|o2o,1,0.3450547760316118,0.2040106422793785,0.2637135981116792,0.594754514487918,0.6470588235294118,-0.9395910212799032,17,0.043693868732073,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.687,False,False,True,False,True,1,False
durable_goods,2,2,day,durable_goods|off2|h2|day,1,0.3282467743350875,0.8516805744433007,0.5217417406116984,0.9917884877571838,0.8823529411764706,-1.133000008257443,17,0.0296444400648559,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.466,True,True,True,False,True,3,False
durable_goods,2,2,ongap,durable_goods|off2|h2|ongap,-1,0.038620927118612,-0.2931383859477166,-0.2504861550618276,-0.5849885547884501,0.3,-1.6908945532018411,10,-0.0496744265030172,0.097173144876325,24.598939929328623,9.717314487632509,2264,-0.511,False,False,True,False,True,1,False
durable_goods,2,2,night,durable_goods|off2|h2|night,1,1.5277590833277324,0.447415857706908,0.5526560842881221,0.5195772850659747,0.7,-1.574690326382448,10,0.0885307363311783,0.097173144876325,24.598939929328623,9.717314487632509,2264,0.911,False,True,True,False,True,2,False
housing_starts,-2,1,c2c,housing_starts|off-2|h1|c2c,1,0.3411059850696603,-0.3477287415443174,0.0620337504399923,0.163921696229834,0.7058823529411765,-1.534707085660004,17,0.0198187083288131,0.0310201471058522,15.634154141349535,3.1020147105852254,6254,0.639,False,True,True,False,True,2,False
housing_starts,-2,1,o2o,housing_starts|off-2|h1|o2o,1,0.2024958885920604,-0.0361561128064107,0.0809848633504492,0.1503085011405366,0.5882352941176471,-1.4233004376599316,17,0.0202485935349375,0.0310201471058522,15.634154141349535,3.1020147105852254,6254,0.653,False,False,True,False,True,1,False
housing_starts,-2,1,day,housing_starts|off-2|h1|day,-1,0.0154765426835468,-0.2125428795422985,-0.084084302005977,-0.0639277459256283,0.4705882352941176,-1.777066218752691,17,-0.0157262357911925,0.0310151878497202,15.631654676258991,3.1015187849720225,6255,-0.507,False,False,True,False,True,1,False
housing_starts,-2,1,ongap,housing_starts|off-2|h1|ongap,-1,-0.4397796776586607,-0.2037096206948417,-0.2349017430975902,-0.2725171863038779,0.6,-2.307788846150019,10,-0.0139417047287473,0.0477031802120141,24.042402826855124,4.770318021201414,2264,-0.292,False,False,True,False,True,1,False
housing_starts,-2,1,night,housing_starts|off-2|h1|night,1,0.312534684963901,0.3997943023870097,0.3857668723538466,0.5006364489075209,0.8,-1.1480157894671337,10,0.0328184373576959,0.0477031802120141,24.042402826855124,4.770318021201414,2264,0.688,False,True,True,False,True,2,False
housing_starts,-2,2,c2c,housing_starts|off-2|h2|c2c,1,0.0953608448581844,0.0001534014922578,0.0493778005738489,0.1111184626605377,0.4705882352941176,-1.7005668668187517,17,0.0465852219829649,0.0620402942117045,15.634154141349535,6.204029421170451,6254,0.751,False,False,True,False,True,1,False
housing_starts,-2,2,o2o,housing_starts|off-2|h2|o2o,1,0.1150057008208775,0.0968260460250631,0.1011978776510716,0.155215032571407,0.7058823529411765,-1.4081645198731687,17,0.0337610313315993,0.0620402942117045,15.634154141349535,6.204029421170451,6254,0.544,False,True,True,False,True,2,False
