frac,p,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
0.05,0.55,9,1,2264,0.0649171393778687,-0.061136356926480694,0.010154095948719058,0.4,-1.173790117785182,10,-0.0044099462841213025,0.0,0.046819787985865724,-5.823976876292514,1809,23.040636042402827,4.681978798586572,2017-05-16,2026-09-01,0.046819787985865724,-0.094,False,False,True,True,True,2,False,False
0.05,0.55,10,1,2264,0.06073212423632851,-0.037596340202528195,-0.3899750704565328,0.4,-1.63627568531518,10,-0.0043486581836703125,-0.0030918727915194345,0.04991166077738516,-8.576696261823274,734,24.265017667844525,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,-0.087,False,False,True,True,True,2,False,False
0.05,0.55,11,1,2264,-0.3915621215402695,-0.5200780525306541,-0.5027332180717294,0.2,-1.590794964245904,10,-0.0020186165286085844,-0.0035335689045936395,0.052120141342756186,-13.72261079748172,2236,25.934628975265017,5.212014134275619,2017-05-16,2026-09-01,0.052120141342756186,-0.039,False,False,True,True,True,2,False,False
0.05,0.55,12,1,2264,0.20903127160117738,0.06256132571472747,-0.006773658488574835,0.5,-2.2260740866256374,10,0.011767634126625348,0.0030918727915194345,0.04991166077738516,-3.7772255570531725,884,24.042402826855124,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,0.236,False,False,True,False,True,1,False,False
0.05,0.55,13,1,2264,-0.03912807612850551,-0.17898441698354178,-0.20037286406478513,0.2,-1.6835981296353828,10,0.007596949763154479,0.00265017667844523,0.046819787985865724,-6.638166518932814,1770,22.81802120141343,4.681978798586572,2017-05-16,2026-09-01,0.046819787985865724,0.162,False,False,True,False,True,1,False,False
0.05,0.55,14,1,2264,0.3068983992016004,0.19411602062788738,0.2177460552340571,0.7,-1.674651668898501,10,-0.01854544935085695,0.0017667844522968198,0.046819787985865724,-5.693450328959058,891,23.040636042402827,4.681978798586572,2017-05-16,2026-09-01,0.046819787985865724,-0.396,False,True,True,False,True,2,False,False
0.05,0.55,15,1,2264,0.295731608669083,0.139279424488089,0.15068742106919727,0.5,-1.1887713472304138,10,-0.0036902438617865485,0.0017667844522968198,0.05123674911660778,-9.834865770797943,1910,25.934628975265017,5.123674911660777,2017-05-16,2026-09-01,0.05123674911660778,-0.072,False,False,True,True,True,2,False,False
0.05,0.55,16,1,2264,0.4592029340751646,0.3407690461917484,0.07468927053847518,0.6,-2.3934637373557486,10,0.0033458183118472854,0.00044169611307420494,0.0534452296819788,-5.2605329168094555,1161,26.045936395759718,5.34452296819788,2017-05-16,2026-09-01,0.0534452296819788,0.063,False,False,True,True,True,2,False,False
0.05,0.55,17,1,2264,0.3928968583874704,0.3039930099508808,0.14531115874231432,0.4,-0.718960708049055,10,0.010129806225743016,0.006183745583038869,0.04328621908127209,-7.091420166955221,818,21.371024734982335,4.328621908127209,2017-05-16,2026-09-01,0.04328621908127209,0.234,False,False,True,False,True,1,False,False
0.05,0.55,18,1,2264,0.5089706091553943,0.3850531649571427,0.4776573628063774,0.7,-1.9904765718594981,10,-0.005326272330308922,0.00044169611307420494,0.0446113074204947,-4.433489040293739,1053,21.816254416961133,4.46113074204947,2017-05-16,2026-09-01,0.0446113074204947,-0.119,False,True,True,True,True,3,False,False
0.05,0.55,19,1,2264,0.22211458227450137,0.12564255888847853,0.08289820326961052,0.4,-1.1146953714718248,10,0.0578107790571631,-0.006183745583038869,0.05565371024734982,-6.473542845258645,708,27.604240282685513,5.565371024734982,2017-05-16,2026-09-01,0.05565371024734982,1.039,False,False,True,False,True,1,False,False
0.05,0.55,20,1,2264,0.38662581197852447,0.2909787218701146,0.2744540644033293,0.6,-1.2853746698695436,10,-0.01922991443933224,0.0008833922261484099,0.04858657243816254,-4.581197238977159,1164,23.485865724381625,4.858657243816254,2017-05-16,2026-09-01,0.04858657243816254,-0.396,False,False,True,False,True,1,False,False
0.05,0.55,21,1,2264,-0.0783712726017644,-0.22401468495961072,-0.4212578398675321,0.3,-2.6044004080248,10,0.0030720965732484408,0.0088339222614841,0.05123674911660778,-7.83944974671857,1107,25.48939929328622,5.123674911660777,2017-05-16,2026-09-01,0.05123674911660778,0.06,False,False,True,True,True,2,False,False
