date,fgn_net_k,trust_net_k,dealer_net_k,fgn_gross_k,trust_gross_k,fgn_breadth,trust_breadth
2009-12-01,2442069.0,-257199.0,,41888020.0,9653030.0,0.5408284023668639,0.3923611111111111
2009-12-02,3664392.0,-624599.0,,44894934.0,11306477.0,0.45050055617352613,0.4222972972972973
2009-12-03,7373893.0,-124070.0,,38759344.0,8532032.0,0.4970414201183432,0.39849624060150374
2009-12-04,1732354.0,-1120074.0,,37130081.0,10567355.0,0.5400641025641025,0.2409090909090909
2009-12-07,5746007.0,-729856.0,,35937991.0,9490769.0,0.5540386803185438,0.4551971326164875
2009-12-08,4534160.0,-880446.0,,35971941.0,9297328.0,0.37942857142857145,0.4340277777777778
2009-12-09,-1757955.0,-582398.0,,38550991.0,7237667.0,0.40775558166862513,0.4186046511627907
2009-12-10,-9939368.0,-621747.0,,57074583.0,10175900.0,0.2268266085059978,0.2923076923076923
2009-12-11,5676764.0,-592199.0,,38294335.0,9093701.0,0.533256880733945,0.6634844868735084
2009-12-14,4860809.0,383166.0,,34442858.0,6984341.0,0.4944649446494465,0.42382271468144045
2009-12-15,2558084.0,-474816.0,,41406584.0,6693508.0,0.6158612143742255,0.48028673835125446
2009-12-16,-3408662.0,-740966.0,,43921193.0,4990694.0,0.37485970819304154,0.2595419847328244
2009-12-17,5651946.0,51122.0,,46400880.0,5942848.0,0.5656862745098039,0.5065502183406113
2009-12-18,-3732609.0,-1915218.0,,37949002.0,5520227.0,0.3614864864864865,0.31756756756756754
2009-12-21,5983854.0,-17954.0,,39961881.0,7223359.0,0.4535603715170279,0.5447761194029851
2009-12-22,9921275.0,257109.0,,34509365.0,7401642.0,0.6918798665183538,0.3076923076923077
2009-12-23,11126872.0,470160.0,,30470105.0,8003996.0,0.6342465753424658,0.4507042253521127
2009-12-24,15068931.0,747011.0,,31600509.0,8420657.0,0.6488651535380507,0.4966442953020134
2009-12-25,4029156.0,-471802.0,,9501566.0,7271583.0,0.6304347826086957,0.22538293216630198
2009-12-28,10399824.0,54867.0,,27846477.0,6198176.0,0.7197452229299363,0.43357933579335795
2009-12-29,5167415.0,-1141687.0,,23961204.0,7943237.0,0.6691729323308271,0.4739583333333333
2009-12-30,10947295.0,-27453.0,,41716225.0,8528989.0,0.7233532934131737,0.5
2009-12-31,9196374.0,1320395.0,,23797830.0,6990707.0,0.5449438202247191,0.4451219512195122
2010-01-04,8623527.0,-586085.0,,31850764.0,8764459.0,0.4623406720741599,0.6244239631336406
2010-01-05,11440424.0,-303225.0,,52161833.0,10657872.0,0.3104189044038668,0.3357664233576642
2010-01-06,9695027.0,-1496036.0,,59412091.0,10375623.0,0.6746835443037975,0.4243421052631579
2010-01-07,10271200.0,117743.0,,62855026.0,11680473.0,0.5981112277019937,0.3023255813953488
2010-01-08,7792897.0,-618381.0,,52320042.0,9828568.0,0.7063403781979978,0.3013698630136986
2010-01-11,9135629.0,59161.0,,43277819.0,9052459.0,0.5203145478374837,0.4066666666666667
2010-01-12,214980.0,-663652.0,,47698392.0,9197983.0,0.5053763440860215,0.2408256880733945
2010-01-13,-2939342.0,-1532392.0,,40580862.0,7219821.0,0.5297619047619048,0.34317343173431736
2010-01-14,10848120.0,-973251.0,,46515124.0,7129757.0,0.6384248210023866,0.3926174496644295
2010-01-15,11075922.0,-547923.0,,50082467.0,11509135.0,0.6065192083818394,0.3080684596577017
2010-01-18,3626952.0,-2117500.0,,31502348.0,8539829.0,0.71875,0.439873417721519
2010-01-19,-3276391.0,-1979551.0,,36485521.0,9758192.0,0.49375709421112374,0.462882096069869
