grid,cell,SR_pre,SR_post,dSR
QNT-14 window grid,full | us_real_10y|signth|w252 | o2o,0.3190205027185331,0.3018750828344671,-0.017145419884065982
QNT-14 window grid,full | us_real_10y|signth|w252 | day,0.2319821457374192,0.2067268240486864,-0.025255321688732818
QNT-14 window grid,full | us_real_10y|dev|w60 | c2c,0.1992796385146688,0.2273943090815535,0.028114670566884714
QNT-14 window grid,full | us_real_10y|dev|w60 | o2o,0.2818208904732779,0.1892427597833065,-0.0925781306899714
QNT-14 window grid,full | us_real_10y|dev|w60 | day,0.3109762462852103,0.1859118308076563,-0.125064415477554
QNT-14 window grid,full | us_real_10y|dev|w120 | c2c,0.3488057763154778,0.3546891586710541,0.005883382355576283
QNT-14 window grid,full | us_real_10y|dev|w120 | o2o,0.4089080498991194,0.3333903722051077,-0.07551767769401169
QNT-14 window grid,full | us_real_10y|dev|w120 | day,0.3569661025791231,0.2602961066948921,-0.09666999588423097
QNT-14 window grid,full | us_real_10y|dev|w252 | c2c,0.3549172070059964,0.3420616454369249,-0.012855561569071472
QNT-14 window grid,full | us_real_10y|dev|w252 | o2o,0.4083056178508444,0.3284805908520401,-0.07982502699880428
QNT-14 window grid,full | us_real_10y|dev|w252 | day,0.255660876360672,0.1719204931369397,-0.08374038322373228
QNT-14 window grid,full | us_breakeven_10y|selfz|w60 | c2c,-0.0587442060293944,0.0324261749105089,0.09117038093990329
QNT-14 window grid,full | us_breakeven_10y|selfz|w60 | o2o,-0.0342694280121771,-0.0008576430187055,0.0334117849934716
QNT-14 window grid,full | us_breakeven_10y|selfz|w60 | day,0.084108955434168,0.0642689403072283,-0.01984001512693971
QNT-14 window grid,full | us_breakeven_10y|selfz|w120 | c2c,0.0948319194571137,-0.0816886157435553,-0.17652053520066902
QNT-14 window grid,full | us_breakeven_10y|selfz|w120 | o2o,-0.1005880373941329,0.068566656516244,0.1691546939103769
QNT-14 window grid,full | us_breakeven_10y|selfz|w120 | day,0.0801065968559319,0.021687096592114,-0.0584195002638179
QNT-14 window grid,full | us_breakeven_10y|selfz|w252 | c2c,-0.0570430328159569,-0.0034733178096746,0.0535697150062823
QNT-14 window grid,full | us_breakeven_10y|selfz|w252 | o2o,-0.0155201897922654,-0.0315277438023997,-0.0160075540101343
QNT-14 window grid,full | us_breakeven_10y|selfz|w252 | day,0.1215076170320421,0.0648187793517167,-0.0566888376803254
QNT-14 window grid,full | us_breakeven_10y|robustz|w60 | c2c,-0.1121127797365102,0.0077357733106089,0.1198485530471191
QNT-14 window grid,full | us_breakeven_10y|robustz|w60 | o2o,-0.1083441866889373,-0.0605286515436887,0.047815535145248604
QNT-14 window grid,full | us_breakeven_10y|robustz|w60 | day,0.0233055860202055,0.0236720158510248,0.0003664298308193002
QNT-14 window grid,full | us_breakeven_10y|robustz|w120 | c2c,-0.0556394831752474,0.0300241186248879,0.0856636018001353
