signal,dim,window,state_a,state_b,SR_a,SR_b,dSR,n_a,n_b,ep_a,ep_b,hit_a,hit_b,beta_a,beta_b,pos_a,pos_b,enabled,dSR_ci_lo,dSR_ci_hi,p_dSR_gt0,welch_t
lt_top10npct_signth_w60,nfci,IS,nfci_tight,nfci_loose,0.6324012126333838,0.028697779525387653,0.6037034331079961,954,1467,15,15,0.5170940170940171,0.48438584316446914,0.0527847282764901,-0.211346524613313,-0.0036632056265489014,-0.04282196928519068,True,,,,
lt_top10npct_signth_w60,nfci,OOS,nfci_tight,nfci_loose,1.2088925737224083,0.5194127172447855,0.6894798564776228,785,1075,13,13,0.5293367346938775,0.4849624060150376,-0.08545819702133492,-0.03754196368187958,0.09637886798822214,-0.03112201624517744,True,,,,
lt_top10npct_signth_w60,stlfsi_lvl,full,stress_on_lvl,stress_off_lvl,0.6620053335861287,0.5172941726589463,0.1447111609271824,1192,3089,40,40,0.5203389830508475,0.4922824302134647,-0.13840424366753984,-0.048085253140162654,0.002104796891736332,-0.008618388182862893,True,-0.8735784187889574,1.319799028065007,0.628,0.4956162183542603
lt_top10npct_signth_w60,stlfsi_lvl,IS,stress_on_lvl,stress_off_lvl,0.4203093370454966,0.15953336952675748,0.2607759675187391,927,1494,26,25,0.5081967213114754,0.4904240766073871,-0.05285287759080888,-0.15547558279354456,-0.001317434655040836,-0.043569789279705166,True,,,,
lt_top10npct_signth_w60,stlfsi_lvl,OOS,stress_on_lvl,stress_off_lvl,1.3623601273281551,0.7597269207371561,0.6026332065909991,265,1595,15,15,0.5622641509433962,0.4939987365761213,-0.34786805909162133,-0.0027358634966694476,0.0140761502648021,0.024119789396248315,True,,,,
lt_top10npct_signth_w60,nfci_lvl,full,nfci_tight_lvl,nfci_loose_lvl,-0.6309157795041167,0.6651665780296393,-1.2960823575337561,211,4070,2,2,0.4976303317535545,0.5002491280518186,-0.3326550104174335,-0.0501148250475552,-0.2206544499923085,0.005514694286600328,True,,,,-0.9479927423868163
lt_top10npct_signth_w60,nfci_lvl,IS,nfci_tight_lvl,nfci_loose_lvl,-0.64583048767099,0.4224111687570324,-1.0682416564280224,174,2247,1,1,0.47126436781609193,0.49931911030413073,-0.29817095070062827,-0.05137439867774632,-0.2660470304618561,-0.008910700404423415,True,,,,
lt_top10npct_signth_w60,nfci_lvl,OOS,nfci_tight_lvl,nfci_loose_lvl,-0.551057565059696,0.9011692131123832,-1.4522267781720792,37,1823,1,2,0.6216216216216216,0.5013804527885146,-0.4691283334195956,-0.049947285231832825,-0.007186639135517032,0.02329519997542662,True,,,,
month_turn_drift_d5_d10,igrea,full,igrea_high,igrea_low,1.0500051187612052,0.2828868463135007,0.7671182724477045,3361,2833,36,36,0.5538144329896907,0.5260617760617761,0.7178151096705104,0.7410740997673825,0.7215114549241297,0.7313801623720437,True,-0.01935704465777382,1.5121709761672908,0.972,1.6277154080856446
month_turn_drift_d5_d10,igrea,IS,igrea_high,igrea_low,0.8203499972320529,0.11928846853736975,0.7010615286946832,2374,1960,25,26,0.5445486518171161,0.5161744022503516,0.7193382018615915,0.7244114784788698,0.7186183656276327,0.7255102040816327,True,,,,
month_turn_drift_d5_d10,igrea,OOS,igrea_high,igrea_low,1.7146562778805856,0.6387619118581105,1.0758943660224751,987,873,11,11,0.5757997218358831,0.5476923076923077,0.7127700726682497,0.7787313966345157,0.7284701114488349,0.7445589919816724,True,,,,
month_turn_drift_d5_d10,stlfsi,full,stress_on,stress_off,0.4871897740942765,0.8032108564725263,-0.31602108237824983,2373,3821,113,114,0.5416420555227407,0.5406562054208274,0.6865459963020699,0.7720451017911859,0.7134428992836073,0.7338393090813923,True,-1.0327905636447323,0.5931293065459167,0.2635,-0.5001590108948543
month_turn_drift_d5_d10,stlfsi,IS,stress_on,stress_off,0.44440401237192995,0.5205730646620628,-0.07616905229013282,1648,2686,78,78,0.5355612682090831,0.5293217746047935,0.6798426272060941,0.7659766100296388,0.7081310679611651,0.7300819061801936,True,,,,
month_turn_drift_d5_d10,stlfsi,OOS,stress_on,stress_off,0.6029670447549191,1.460553063028184,-0.8575860182732649,725,1135,36,36,0.5551330798479087,0.5670225385527876,0.7080732163435417,0.785796999633349,0.7255172413793104,0.7427312775330397,True,,,,
