frac,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,passes
0.1,1,2264,0.5256933143128238,0.3766846628868846,0.13208555523153712,0.5,-1.464181146198621,10,0.10486654333116374,0.09540636042402827,0.09540636042402827,-7.800473559803447,536,45.96996466431095,9.540636042402827,2017-05-16,2026-09-01,False
0.1,1,2264,0.22533215848234361,0.09214510146960989,-0.27724192944304077,0.2,-1.6167115261712108,10,0.13842026757531875,0.10114840989399293,0.10114840989399293,-17.122381189685303,2176,46.74911660777386,10.114840989399292,2017-05-16,2026-09-01,False
0.1,1,2264,0.504582234319053,0.34862510220117365,0.2563980887859583,0.5,-1.354487324145091,10,0.09933057338705589,0.10247349823321555,0.10247349823321555,-10.389338118614168,984,46.41519434628975,10.247349823321555,2017-05-16,2026-09-01,False
0.2,1,2264,0.4388391592109586,0.24517175696496302,0.39250821623005494,0.6,-0.969342464895269,10,0.19168221356369416,0.20185512367491165,0.20185512367491165,-14.45244485021267,580,79.47349823321555,20.185512367491164,2017-05-16,2026-09-01,False
0.2,1,2264,0.6074515128131783,0.42790081906856015,0.6158058019872984,0.7,-1.2013186798731788,10,0.22042721176359678,0.20362190812720848,0.20362190812720848,-8.726963373507738,595,79.91872791519434,20.362190812720847,2017-05-16,2026-09-01,False
0.2,1,2264,-0.3617962404545544,-0.5436835650552133,-0.42504794480796493,0.4,-2.155108295283122,10,0.2351866264779842,0.2124558303886926,0.2124558303886926,-32.460125037777225,1612,82.14487632508833,21.24558303886926,2017-05-16,2026-09-01,False
0.2,1,2264,-1.0200538931428573e-05,-0.19432200754253262,-0.32646481433498264,0.3,-1.0639860028820853,10,0.1829849913354857,0.20008833922261485,0.20008833922261485,-21.50820339347564,2156,78.02650176678445,20.008833922261484,2017-05-16,2026-09-01,False
0.2,1,2264,0.7082157934518156,0.5215267764273265,0.8977214996817316,0.8,-0.5540869420344906,10,0.23585346941352053,0.21643109540636044,0.21643109540636044,-9.859577420877704,554,85.59540636042404,21.643109540636043,2017-05-16,2026-09-01,False
0.2,1,2264,0.6063406953298375,0.4398454638865914,0.4452884009632331,0.8,-1.7819564631669185,10,0.25359227019490854,0.19876325088339222,0.19876325088339222,-10.464545164778785,737,79.69611307420496,19.87632508833922,2017-05-16,2026-09-01,False
0.2,1,2264,0.6061354823401478,0.4180826617719933,0.24239940413089658,0.5,-0.8853093675063507,10,0.21696681759426492,0.20185512367491165,0.20185512367491165,-9.731902727491946,1014,81.25441696113074,20.185512367491164,2017-05-16,2026-09-01,False
0.2,1,2264,0.2743735742289427,0.05231292146590593,0.258411362506931,0.6,-0.9621135470365697,10,0.16562369626543685,0.20318021201413428,0.20318021201413428,-11.841392985321837,1003,83.92579505300353,20.318021201413426,2017-05-16,2026-09-01,False
0.2,1,2264,0.8450425920345955,0.6309131553489944,0.5834040022871045,0.6,-0.6788303299555657,10,0.16874819810736877,0.21068904593639576,0.21068904593639576,-7.861176432673311,575,82.92402826855124,21.068904593639576,2017-05-16,2026-09-01,False
0.2,1,2264,0.3394225668261777,0.1512096215382413,0.13051124128678748,0.6,-2.4595064920605436,10,0.20369026322209058,0.19832155477031801,0.19832155477031801,-25.64932898436318,1146,79.58480565371025,19.8321554770318,2017-05-16,2026-09-01,False
0.2,1,2264,0.5068897540602306,0.2920355817069841,0.3139719965174423,0.7,-1.2344700502829022,10,0.16203767330396987,0.19390459363957596,0.19390459363957596,-13.989594260358206,1147,80.25265017667844,19.390459363957596,2017-05-16,2026-09-01,False
0.2,1,2264,0.635885594302063,0.4350148931282956,0.6487166871259038,0.8,-1.158412926752856,10,0.18613938814414924,0.19920494699646643,0.19920494699646643,-13.858629415201445,210,82.59010600706713,19.920494699646643,2017-05-16,2026-09-01,False
0.2,1,2264,0.8391602617172654,0.6069150924343152,0.5655380519146478,0.7,-1.426993556871798,10,0.1466314990169287,0.2053886925795053,0.2053886925795053,-11.15206878644248,916,84.14840989399293,20.53886925795053,2017-05-16,2026-09-01,False
0.2,1,2264,0.19737947199814415,0.020068703272779244,0.004083993841200106,0.5,-1.3663663660714864,10,0.22936322456843153,0.1978798586572438,0.1978798586572438,-21.631310340297166,1996,78.47173144876325,19.78798586572438,2017-05-16,2026-09-01,False
0.2,1,2264,0.4120976375428845,0.21793159929155584,0.5450704733307014,0.6,-0.832223328218248,10,0.19740834085354142,0.2067137809187279,0.2067137809187279,-9.561643643800243,489,80.69787985865725,20.671378091872793,2017-05-16,2026-09-01,False
0.2,1,2264,0.5879947490465718,0.3884791023359188,0.2870061117157481,0.5,-1.3013051923709682,10,0.16724464664694982,0.1872791519434629,0.1872791519434629,-10.90563035865501,1523,76.69081272084806,18.727915194346288,2017-05-16,2026-09-01,False
0.2,1,2264,0.7143541558099188,0.5168152340258595,0.4869906823732145,0.6,-0.9947659444603688,10,0.16984342985166045,0.19125441696113074,0.19125441696113074,-9.738035577835083,453,77.13604240282686,19.125441696113075,2017-05-16,2026-09-01,False
0.2,1,2264,0.26329247055781474,0.05249045293646909,0.0953600709688025,0.6,-1.0616833072644491,10,0.17419325696629648,0.20318021201413428,0.20318021201413428,-16.099853920245334,1145,82.47879858657244,20.318021201413426,2017-05-16,2026-09-01,False
0.2,1,2264,0.09488135748255834,-0.07785721688544045,-0.28196084842049346,0.5,-1.482163755570308,10,0.2515271750544329,0.20097173144876326,0.20097173144876326,-14.802326161626391,1177,81.81095406360423,20.097173144876326,2017-05-16,2026-09-01,False
0.2,1,2264,0.37228580835655894,0.16207488242535886,0.34654861505404694,0.6,-0.819768597467987,10,0.16749379915254092,0.20185512367491165,0.20185512367491165,-10.731005062578152,875,81.92226148409894,20.185512367491164,2017-05-16,2026-09-01,False
