event,offset,window,n_ev,mean_bps,base_bps,diff_bps,t,p,pos_years,n_years,ann_SR_if_traded
durable_goods,1,c2c,199,12.40690008869606,6.433704661732554,5.973195426963507,0.8511020091554099,0.3955982072200964,0.5882352941176471,17,2.0652586454894277
durable_goods,-2,night,111,0.3867292197963964,5.993812114005948,-5.607082894209551,-0.8498792660524124,0.3969965970962612,0.4,10,0.09148615190073127
retail_sales,1,day,200,-4.319950872575995,1.0320923381767335,-5.352043210752729,-0.831397455268668,0.40666926634330386,0.47058823529411764,17,-0.7684672232298835
GDP_advance,1,ongap,37,8.681007569239371,1.3520813684302033,7.3289262008091685,0.8329385961885044,0.41023906687292194,0.8,10,2.5906495511015013
trade_balance,1,c2c,199,13.349717710518915,6.385411043523353,6.964306666995562,0.817281427494675,0.4146579212824651,0.7647058823529411,17,1.806941505451789
retail_sales,2,ongap,112,5.106031866579662,1.2827169695627314,3.823314897016931,0.8138522771914343,0.4173215607994422,0.6,10,1.6676932767675616
NFP,-2,c2c,199,12.82599372991935,6.412237574318542,6.413756155600808,0.8010813881440384,0.4239425918134658,0.5294117647058824,17,1.8542803881715106
PPI,1,c2c,149,14.215424999498936,6.441122593025705,7.774302406473231,0.7925733781676452,0.42920593492181186,0.6153846153846154,13,1.9194219154619614
case_shiller,-1,day,140,-4.2428295771993,0.9479342311792941,-5.190763808378595,-0.7921234293554659,0.42953855144984265,0.46153846153846156,13,-0.8855711984129061
industrial_production,-2,day,198,4.724669111954437,0.5684951062265196,4.156174005727918,0.7881881564736384,0.4314246911391843,0.6470588235294118,17,1.0423843429733501
umich_sentiment,-2,night,109,0.21803862601242377,5.997140702838447,-5.779102076826023,-0.7870580528516998,0.4327898887588697,0.5,10,0.04643075426848532
housing_starts,0,day,194,-3.82504401601464,0.9991555285527183,-4.8241995445673584,-0.7856341137878852,0.43296382686162516,0.47058823529411764,17,-0.7258461974077467
NFP,1,night,109,12.918037167939836,5.35477418726068,7.563262980679156,0.7843539675932374,0.43444672933288847,0.8,10,2.0687193143291545
industrial_production,-1,c2c,198,12.720713177544942,6.4192523209798225,6.30146085656512,0.7811253840556462,0.4355681774498575,0.7058823529411765,17,1.82896927786299
claims,2,night,477,8.179420675939147,5.062126895595542,3.117293780343604,0.7763023767079077,0.43780972370482774,0.8,10,1.6770133032784411
durable_goods,-1,night,111,10.948133331347488,5.449308697200482,5.498824634147006,0.7736960977471998,0.44058309764971004,0.7,10,2.39169045346262
housing_starts,-2,day,194,4.639837674102339,0.5769994751124371,4.062838198989902,0.757746391760471,0.44942390522033876,0.6470588235294118,17,1.0159529796582234
PPI,-1,day,149,-4.497848202427358,0.9694627316708794,-5.467310934098237,-0.7528120383135375,0.45268687247365924,0.38461538461538464,13,-0.818007313642713
JOLTS,-2,c2c,191,0.3331552300132871,7.038346539827627,-6.70519130981434,-0.75129251100432,0.45332698787568315,0.5294117647058824,17,0.043844637559589096
CPI,-2,day,199,4.698237902816016,0.5687791825747353,4.129458720241281,0.7491064779839889,0.4545882554276225,0.47058823529411764,17,0.9862675216925517
case_shiller,0,day,140,5.505611931166824,0.6018942182048374,4.903717712961987,0.7415347821941971,0.45952934124305733,0.6923076923076923,13,1.1383059692796238
housing_starts,-2,c2c,194,12.484624052309737,6.437506082862056,6.04711796944768,0.7402235971773503,0.45997199155988605,0.5294117647058824,17,1.7894210414594052
CPI,1,c2c,199,11.629569060117321,6.473521617893987,5.156047442223334,0.7338046453180356,0.4638156863699164,0.6470588235294118,17,1.9334049767369816
PPI,-2,night,110,13.104581016930029,5.341736542706548,7.76284447422348,0.7265457339910929,0.4689870561244362,0.6,10,1.8793700469983836
durable_goods,0,day,199,-3.29340586622117,0.9781323640518009,-4.271538230272971,-0.7187276130210609,0.4730794433229195,0.5294117647058824,17,-0.6385792292754763
FOMC,1,night,75,-2.822426220665368,6.0115515721343575,-8.833977792799725,-0.718052539173936,0.47490336072303974,0.5,10,-0.42446066911021507
FOMC,-1,night,75,-0.9514060119150644,5.947446265758719,-6.898852277673784,-0.7087110722109968,0.4805985447012534,0.6,10,-0.18192067772264017
industrial_production,2,c2c,198,1.0571128478223193,7.0135376697407805,-5.956424821918461,-0.699977376186465,0.4846896152065405,0.5294117647058824,17,0.14365631307390153
housing_starts,-1,night,108,10.052405732252337,5.501829594512502,4.550576137739835,0.6952258540679035,0.48822054954486466,0.8,10,2.4314045123379073
JOLTS,-2,ongap,109,-2.8839147592220784,1.692171320794026,-4.576086080016104,-0.6934548789367512,0.489450553166126,0.5,10,-0.6716530450213688
CPI,-1,c2c,199,12.95315723442579,6.405723922478959,6.547433311946832,0.6748755561325575,0.5004857779102313,0.5882352941176471,17,1.530659311177282
housing_starts,1,c2c,194,0.5538252475583172,7.0325125014023575,-6.47868725384404,-0.6709471567165181,0.5029983355566813,0.4117647058823529,17,0.06661015786337557
housing_starts,1,day,194,-3.35184700918258,0.9755565004484972,-4.327403509631076,-0.6697924331058092,0.5037297367860708,0.4117647058823529,17,-0.6031257059451643
NFP,-1,ongap,110,-0.6638393257263948,1.580921454682369,-2.2447607804087637,-0.6643017409823551,0.507664788093894,0.5,10,-0.3113695936986686
JOLTS,2,day,191,-3.5193289456433896,0.9804388121194764,-4.499767757762866,-0.6575141835350851,0.5115923917755644,0.35294117647058826,17,-0.6011192092216127
PCE,0,night,110,0.3761769377846386,5.991747893080733,-5.615570955296095,-0.6472681666123632,0.5187175004931196,0.4,10,0.06691860008069492
FOMC,-1,ongap,75,4.179460584611923,1.3790876855687646,2.8003728990431584,0.6439927459136252,0.5213710484435794,0.6,10,1.809239831988028
CPI,1,night,111,0.41545556107487575,5.992331099662283,-5.576875538587407,-0.6405300772344907,0.5230612877215767,0.7,10,0.07330014549001625
housing_starts,2,ongap,108,-0.9795345640445581,1.5946531634845698,-2.574187727529128,-0.6394024596276079,0.5237659612829543,0.5,10,-0.3835869614876177
new_home_sales,0,night,108,9.895835457314577,5.509672632403633,4.386162824910944,0.634190654285012,0.5271488167474582,0.6,10,2.256218378048803
retail_sales,1,c2c,200,1.7751764078108523,6.9796293632644995,-5.204452955453647,-0.6282180184261509,0.5305099318153127,0.4117647058823529,17,0.24691065656490055
PCE,0,ongap,110,5.897356021691573,1.2458557684168277,4.651500253274745,0.627377715180738,0.531681558693182,0.8,10,1.2138088192063732
retail_sales,0,ongap,111,-2.544769836922798,1.6789372686736417,-4.223707105596439,-0.6260187111474813,0.5325479814653825,0.5,10,-0.5741059830616555
housing_starts,1,ongap,108,3.9881186539113522,1.3458096813235128,2.6423089725878395,0.6228628735692546,0.5345587961400284,0.8,10,1.4771581130021583
trade_balance,-2,night,109,0.13659207882146474,6.001260272974788,-5.864668194153324,-0.6217034296191006,0.5353649060708356,0.3,10,0.022376944681853986
case_shiller,0,night,111,1.6012644330926935,5.9311955749089265,-4.329931141816233,-0.6171849405835398,0.5382405982831057,0.4,10,0.35467627902382176
FOMC,-1,c2c,94,12.567130581285365,6.587119161363575,5.98001141992179,0.6119887439844901,0.5419333272794372,0.6666666666666666,12,2.144684280591031
housing_starts,1,night,108,2.3093606941055294,5.8897001251803385,-3.5803394310748096,-0.6103111748932811,0.5427361566894668,0.7,10,0.6291790492252943
new_home_sales,-1,ongap,108,3.4200496502085613,1.3742658280767137,2.045783822131847,0.6046355610147001,0.5464872267230725,0.6,10,1.6165714441892693
durable_goods,0,night,111,1.3869312000358869,5.942245732302937,-4.55531453226705,-0.6035553102230973,0.5472579639802557,0.6,10,0.28427274083335097
retail_sales,2,c2c,200,12.154707124918275,6.4451530132589685,5.709554111659306,0.6028212242914898,0.5472623360004377,0.5882352941176471,17,1.4690150080342628
CPI,-2,ongap,109,-0.4422539847872777,1.5686720055209897,-2.0109259903082677,-0.6021231178951697,0.5481377222521737,0.5,10,-0.21108896530699794
trade_balance,0,day,199,-2.510516996595106,0.9380307205368494,-3.448547717131955,-0.5989637807859255,0.5498155945869424,0.4117647058823529,17,-0.5033269987889201
CPI,-2,c2c,199,11.081162921898768,6.501612434240317,4.579550487658451,0.5977913753957834,0.5505827393315877,0.6470588235294118,17,1.6790148448186408
NFP,2,day,199,-2.97866678858161,0.9620105940517307,-3.9406773826333406,-0.5876968223014845,0.5573583340176914,0.47058823529411764,17,-0.509113152310829
housing_starts,-1,c2c,194,11.21448017476504,6.500850019171483,4.713630155593556,0.5848772747107055,0.5592416472687607,0.7647058823529411,17,1.6306433820964314
new_home_sales,-1,night,108,9.409050288866421,5.534057047149644,3.874993241716777,0.5749761041713058,0.5663631417887335,0.8,10,2.205506127014267
NFP,1,day,199,4.042846360705175,0.6023500749505545,3.44049628575462,0.5595988702724848,0.5763322088081174,0.6470588235294118,17,0.7564887594178198
case_shiller,-1,c2c,140,2.138438579919355,6.887559413613787,-4.749120833694432,-0.5548898132419839,0.5797793460371189,0.3076923076923077,13,0.34346874336404615
NFP,2,night,109,9.079300144746206,5.5489376840254625,3.530362460720743,0.5543337383477803,0.5803355863136384,0.7,10,2.2515373931039204
claims,-2,ongap,478,2.3332971741449176,1.241302597040677,1.0919945771042405,0.5428957907868294,0.5873249474888358,0.5,10,1.0234634376414184
retail_sales,-2,c2c,200,10.596208889788949,6.525405239578706,4.070803650210243,0.5434264487207041,0.5873703664634348,0.5294117647058824,17,1.6403362260911207
CPI,2,c2c,199,2.1306485728525404,6.960081509004849,-4.829432936152307,-0.5381420700117088,0.5910324764421755,0.4117647058823529,17,0.2731217458861188
JOLTS,2,c2c,191,1.951410375430532,6.958951026656629,-5.007540651226097,-0.5299725196302971,0.5967028989696145,0.4117647058823529,17,0.24195028181659567
durable_goods,-1,c2c,199,10.283896373108746,6.542450540600476,3.7414458325082705,0.5224762085366195,0.6018450416921646,0.6470588235294118,17,1.6750677967057876
claims,-1,ongap,480,2.2909274290087573,1.2514783193002894,1.0394491097084677,0.5201449511601729,0.6030779424557469,0.7,10,1.013523302302096
PCE,-1,ongap,110,-0.4519069557923159,1.5700985388547237,-2.02200549464704,-0.5173393255690745,0.605835817408771,0.8,10,-0.1809995630401766
PPI,2,c2c,149,2.058599995452317,6.901444556330138,-4.842844560877821,-0.5151047792296574,0.6071894142404068,0.6153846153846154,13,0.29049898946468167
durable_goods,0,c2c,199,2.095603683137408,6.961876601167862,-4.866272918030455,-0.5071650726126776,0.6125620441428136,0.5294117647058824,17,0.2505013733820784
claims,2,day,518,2.4441155044069274,0.5268100492654081,1.9173054551415192,0.5016863615445403,0.6160533285771939,0.7272727272727273,11,0.4760029264974459
new_home_sales,-2,day,195,-1.9531418112938896,0.9065361584380413,-2.859677969731931,-0.4991644859634233,0.6181739128455437,0.5294117647058824,17,-0.39765925351050946
trade_balance,1,night,109,9.67315020604753,5.518900720367993,4.154249485679538,0.49025961739037743,0.624866560712928,0.9,10,1.7717284615171747
CPI,-2,night,109,9.444397341262137,5.530471050883821,3.9139262903783165,0.484858276400246,0.6286735209118367,0.6,10,1.8199508612952968
new_home_sales,-1,day,195,-1.8048263783492224,0.8990994113503039,-2.7039257896995266,-0.48357334530061186,0.6291781504275332,0.4117647058823529,17,-0.3770103178073012
CPI,-1,day,199,-1.8023453153528,0.9017562895028163,-2.704101604855616,-0.4766039394502901,0.6341174263084806,0.4117647058823529,17,-0.3669875430096613
GDP_advance,1,c2c,67,0.6677209277196774,6.825785020245026,-6.158064092525349,-0.4728113343832295,0.6378460956160638,0.4117647058823529,17,0.10043516054348661
housing_starts,-2,night,107,9.284084808161943,5.542052550013389,3.7420322581485537,0.4693529076162939,0.6396954536409867,0.7,10,1.8293876687225865
GDP_advance,-1,night,37,0.039074780935914336,5.8132728594331295,-5.774198078497215,-0.4674173061328576,0.6429154996209532,0.5,10,0.008332358114232991
CPI,-1,ongap,110,-0.4874081915281694,1.5719115081819957,-2.059319699710165,-0.4645248423492948,0.6431080650234006,0.7,10,-0.17074042582054053
industrial_production,0,ongap,110,-1.2502046568017111,1.6108658309211272,-2.861070487722838,-0.458814375983897,0.6472377714298313,0.5,10,-0.3071662820245857
GDP_advance,2,ongap,37,3.468991256414443,1.4386752631650586,2.0303159932493844,0.46022594561887165,0.6478564921737515,0.5,10,2.1047676536870537
PPI,2,ongap,111,0.0048888345969598,1.5474871467327718,-1.5425983121358118,-0.4550199304050908,0.6498421362906086,0.5,10,0.0022746026884426047
retail_sales,1,ongap,112,3.0359871987305818,1.390451636290936,1.6455355624396455,0.4546018183744917,0.6501533717109899,0.6,10,1.3091411433448177
FOMC,1,c2c,94,-0.3702433808228573,6.891909425132541,-7.262152805955399,-0.45255440594041685,0.6518964255511344,0.4166666666666667,12,-0.03802477354639855
umich_sentiment,-1,night,109,9.048410791482107,5.550500068946941,3.4979107225351656,0.4478146885312724,0.6551005082888786,0.6,10,1.8049889453274262
NFP,-1,day,199,2.8130184631400925,0.665345120411417,2.1476733427286754,0.4350219077371793,0.6639578500669077,0.4117647058823529,17,0.6643222253055526
